episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,5.959134409910469,-1.6829174410227166,121.70937272326452,-30.0,0.3333333333333333,0,0.0,False,True,0.305055690415367,0,45.933328898930526,5.334,prepare,0.0
0,2.0,5.959176268097217,-1.6829465182759136,121.706206943236,-30.0,0.3333333333333333,0,1.0,False,True,0.30495394221242283,0,45.933328898930526,5.401,in_progress,0.0
0,3.0,5.955346936599455,-1.675851136057963,121.58308171069287,-30.0,0.3333333333333333,0,1.0,False,True,0.3224771519788663,0,45.933328898930526,5.466,in_progress,0.0
0,4.0,5.945804207883653,-1.6564391157554064,121.08879575867597,-30.0,0.3333333333333333,0,1.0,False,True,0.3693498966775335,0,45.933328898930526,5.5280000000000005,in_progress,0.0
0,5.0,5.935135458013781,-1.6355817889561666,120.70131823871274,-30.0,0.3333333333333333,0,1.0,False,True,0.42018793759297435,0,45.933328898930526,5.605,in_progress,0.0
0,6.0,5.926380417711688,-1.6138095599424576,119.91131170433474,-30.0,0.3333333333333333,0,1.0,False,True,0.4705309622092763,0,45.933328898930526,5.659,in_progress,0.0
0,7.0,5.9205154586603825,-1.5925040048223456,118.63528945355176,-30.0,0.3333333333333333,0,1.0,False,True,0.5167029356573931,0,45.933328898930526,5.741,in_progress,0.0
0,8.0,5.915197572870164,-1.5672972465997628,116.87488215001972,0.0,0.3333333333333333,3,1.0,False,True,0.5694746772816285,0,45.933328898930526,5.802,in_progress,0.0
0,9.0,5.910903410241976,-1.5466797007362802,115.52280033147808,-30.0,0.3333333333333333,0,1.0,False,True,0.6125751097317802,0,45.933328898930526,5.867,in_progress,0.0
0,10.0,5.901681963775749,-1.5175872436286202,114.52046736272023,-30.0,0.6666666666666666,1,1.0,False,True,0.6770101019430496,1,45.933328898930526,5.932,in_progress,0.0
0,11.0,5.895605273159624,-1.486518001321644,112.76614807849532,0.0,0.3333333333333333,3,1.0,False,True,0.7415083654919138,1,45.933328898930526,6.006,in_progress,0.0
0,12.0,5.893432168260272,-1.4548591798794739,110.27122406900283,0.0,0.3333333333333333,3,1.0,False,True,0.8026323386236206,1,45.933328898930526,6.074,in_progress,0.0
0,13.0,5.891943790282428,-1.428723082252876,108.39883230798209,0.0,0.6666666666666666,4,1.0,False,True,0.8527438409401606,1,45.933328898930526,6.138,in_progress,0.0
0,14.0,5.889278018696684,-1.3972807759664703,106.57051373951404,0.0,0.6666666666666666,4,1.0,False,True,0.914030475823273,1,45.933328898930526,6.208,in_progress,0.0
0,15.0,5.886544647073155,-1.3557776099321033,104.43808813332565,30.0,1.0,8,0.5,False,True,0.994028907497789,1,45.933328898930526,6.27,in_progress,0.0
0,16.0,5.881041076441662,-1.3087953890299975,102.93351326821687,0.0,0.3333333333333333,3,0.5,False,True,1.0873450232826136,1,45.933328898930526,6.35,in_progress,0.0
0,17.0,5.875449587002521,-1.2642939682268064,101.83678719120743,0.0,0.3333333333333333,3,0.5,False,True,1.1761668606940474,1,45.933328898930526,6.404,in_progress,0.0
0,18.0,5.872571535951687,-1.2353412092297404,101.02603041343984,30.0,1.0,8,0.5,False,True,1.2330853033106184,1,45.933328898930526,6.471,in_progress,0.0
0,19.0,5.868125005284261,-1.2063253571656691,100.69681174097386,30.0,1.0,8,0.5,False,True,1.2919151832954967,1,45.933328898930526,6.537,in_progress,0.0
0,20.0,5.856016358867754,-1.1577988758036026,101.27537390183872,30.0,1.0,8,0.5,False,True,1.427538128773262,1,45.933328898930526,6.605,in_progress,0.0
0,21.0,5.837066939048455,-1.108521424544532,103.34066180205424,30.0,1.0,8,0.5,False,True,1.5418103307835207,1,45.933328898930526,6.674,in_progress,0.0
0,22.0,5.805928336029179,-1.0428457925107493,106.67182681649436,30.0,1.0,8,0.5,False,True,1.6999656640817322,1,45.933328898930526,6.737,in_progress,0.0
0,23.0,5.770049451737745,-0.9826938249062088,110.43828837488836,0.0,0.3333333333333333,3,0.5,False,True,1.8521449179557798,1,45.933328898930526,6.799,in_progress,0.0
0,24.0,5.736581994582911,-0.935605717571411,113.86164076956457,30.0,1.0,8,0.5,False,True,1.9766299633269455,1,45.933328898930526,6.871,in_progress,0.0
0,25.0,5.697868489982367,-0.8865928682989822,117.41595384834932,30.0,1.0,8,0.5,False,True,2.110063729929438,2,45.933328898930526,6.9350000000000005,in_progress,0.0
0,26.0,5.6514384626408924,-0.8397933103417068,121.77216495091024,0.0,0.3333333333333333,3,0.5,False,True,2.2468935026313073,2,45.933328898930526,7.005,in_progress,0.0
0,27.0,5.605153734967245,-0.7977834776937375,125.70794726521771,-30.0,0.3333333333333333,0,0.5,False,True,2.374304940862788,2,45.933328898930526,7.074,in_progress,0.0
0,28.0,5.567697588916088,-0.7633093979344517,128.12200340262234,-30.0,0.3333333333333333,0,0.5,False,True,2.478337632663405,2,45.933328898930526,7.14,in_progress,0.0
0,29.0,5.541441064710722,-0.737530764417869,129.48699052593727,-30.0,0.3333333333333333,0,1.0,False,True,2.554386002141215,2,45.933328898930526,7.202,in_progress,0.0
0,30.0,5.522904603938929,-0.7171949057309428,129.86115719829155,-30.0,0.3333333333333333,0,1.0,False,True,2.6122114345194754,2,45.933328898930526,7.271,in_progress,0.0
0,31.0,5.506453913045112,-0.6983534395910661,130.0036827229469,-30.0,0.3333333333333333,0,1.0,False,True,2.6584375928716524,2,45.933328898930526,7.332,in_progress,0.0
